Chinese	Pinyin	English
热烈	rèliè	warm
人口	rénkǒu	population
人民币	rénmínbì	RMB
人事	rénshì	Personnel matters
人员	rényuán	personnel
日常	rìcháng	daily
日期	rìqī	Date
日子	rìzi	life, days
如今	rújīn	nowadays
软	ruǎn	soft
弱	ruò	weak
色彩	sècǎi	color
杀	shā	kill
沙漠	shāmò	Desert
傻	shǎ	silly
删除	shānchú	delete
善良	shànliáng	kind; virtuous
扇子	shànzi	Fan
商业	shāngyè	business
上当	shàngdàng	When
蛇	shé	snake
设备	shèbèi	equipment
设施	shèshī	facilities
射击	shèjī	Shooting
身材	shēncái	figure
神话	shénhuà	Myth
升	shēng	rise
生产	shēngchǎn	production
声调	shēngdiào	Tone
绳子	shéngzi	Rope
省略	shěnglüè	ellipsis
胜利	shènglì	victory
失去	shīqù	Lose
失业	shīyè	Unemployment
湿润	shīrùn	Moist
时差	shíchā	time difference
时刻	shíkè	time
时期	shíqī	period
实话	shíhuà	The truth
实践	shíjiàn	practice
实现	shíxiàn	Realization
实用	shíyòng	Practical
食物	shíwù	food
士兵	shìbīng	soldiers
似的	shìde	Likely
事实	shìshí	Fact
事先	shìxiān	Prior
收获	shōuhuò	Harvest
手套	shǒutào	glove
手指	shǒuzhǐ	finger
蔬菜	shūcài	Vegetables
舒适	shūshì	Comfortable
梳子	shūzi	comb
属于	shǔyú	belong to
数	shǔ	to count
甩	shuǎi	Rejection
说不定	shuōbudìng	maybe
撕	sī	tear
丝毫	sīháo	A bit
思考	sīkǎo	Reflection
私人	sīrén	private
搜索	sōusuǒ	search
宿舍	sùshè	dormitory
随时	suíshí	at any time
随手	suíshǒu	Readily
缩短	suōduǎn	Shorten
所	suǒ	place
太太	tàitai	Ma’am
谈判	tánpàn	negotiation
坦率	tǎnshuài	frank
烫	tàng	Hot
桃	táo	peach
逃避	táobì	escape
特殊	tèshū	special
特征	tèzhēng	Features
疼爱	téng’ài	Love dearly
提纲	tígāng	outline
提问	tíwèn	Put questions to
体会	tǐhuì	Experience
体现	tǐxiàn	Reflect
调皮	tiáopí	naughty
挑战	tiǎozhàn	challenge
痛苦	tòngkǔ	Pain
投入	tóurù	put into
透明	tòumíng	transparent
土地	tǔdì	land
吐	tù	spit
团	tuán	group
推广	tuīguǎng	Extension
退步	tuìbù	Backward
歪	wāi	Crooked
外交	wàijiāo	International Relations
完美	wánměi	perfect
完善	wánshàn	perfect
王子	wángzǐ	prince
往返	wǎngfǎn	Return
网络	wǎngluò	network
危害	wēihài	Harm
微笑	wēixiào	Smile
违反	wéifǎn	Violation
围巾	wéijīn	scarf
唯一	wéiyī	Only
伟大	wěidà	great
胃口	wèikǒu	Appetite
位置	wèizhì	position
未来	wèilái	Future
温暖	wēnnuǎn	warm
闻	wén	smell
文件	wénjiàn	file
文明	wénmíng	civilization
文字	wénzì	writing, character
吻	wěn	kiss
握手	wòshǒu	Handshake
屋子	wūzi	House
无奈	wúnài	have no choice
无所谓	wúsuǒwèi	cannot be designated as
武术	wǔshù	A martial art
雾	wù	Fog
物理	wùlǐ	Physics
吸收	xīshōu	absorb
系	xì	department
细节	xìjié	details
瞎	xiā	blind
鲜艳	xiānyàn	Colorful
显得	xiǎnde	Appear, seem
显示	xiǎnshì	display
现代	xiàndài	modern
现实	xiànshí	reality
限制	xiànzhì	limit
相处	xiāngchǔ	Get along with
相对	xiāngduì	Relative
相关	xiāngguān	correlate
想象	xiǎngxiàng	imagine
项	xiàng	term
项目	xiàngmù	project
象棋	xiàngqí	Xiangqi
消费	xiāofèi	consumption
消化	xiāohuà	Digestion
销售	xiāoshòu	Sale
小麦	xiǎomài	Wheat
效率	xiàolǜ	efficiency
歇	xiē	Rest
欣赏	xīnshǎng	Appreciate
信号	xìnhào	signal
行动	xíngdòng	Get some action
行人	xíngrén	pedestrian
形成	xíngchéng	formation
形式	xíngshì	form
形象	xíngxiàng	image
性质	xìngzhì	Nature
幸亏	xìngkuī	Thanks
胸	xiōng	chest
修改	xiūgǎi	modify
休闲	xiūxián	Leisure time
叙述	xùshù	Narration
宣传	xuānchuán	Propaganda
学历	xuélì	education degree
学问	xuéwen	knowledge
血	xuè	blood
寻找	xúnzhǎo	Seek, look for
迅速	xùnsù	rapid
延长	yáncháng	extend
严肃	yánsù	serious
演讲	yǎnjiǎng	speech
阳台	yángtái	balcony
摇	yáo	shake
要不	yàobù	Or
业务	yèwù	business
一辈子	yíbèizi	A lifetime
一律	yílǜ	all and singular
移动	yídòng	move
遗憾	yíhàn	pity
乙	yǐ	
以及	yǐjí	as well as
亿	yì	Billion
意义	yìyì	Significance
因而	yīn’ér	thus
银	yín	silver
印刷	yìnshuā	printing
英雄	yīngxióng	Hero
迎接	yíngjiē	meet, welcome
营业	yíngyè	Do business
影子	yǐngzi	shadow
硬件	yìngjiàn	Hardware
拥抱	yōngbào	embrace
用途	yòngtú	purpose
优美	yōuměi	Graceful
游览	yóulǎn	visit
犹豫	yóuyù	hesitate
幼儿园	yòu’éryuán	Kindergarten
与其	yǔqí	Rather than
语气	yǔqì	tone
预订	yùdìng	book; subscribe for
玉米	yùmǐ	Corn
原料	yuánliào	raw material
原则	yuánzé	Principle
乐器	yuèqì	instrument
运输	yùnshū	transport
在于	zàiyú	rest with
赞美	zànměi	Praise
则	zé	be
摘	zhāi	pick
粘贴	zhāntiē	paste
展览	zhǎnlǎn	exhibition
占	zhàn	occupy
战争	zhànzhēng	War
长辈	zhǎngbèi	Elder
涨	zhǎng	rise
招待	zhāodài	Entertain
着火	zháohuǒ	on fire
着凉	zháoliáng	get cold
召开	zhàokāi	convene
照常	zhàocháng	as usual
哲学	zhéxué	Philosophy
真实	zhēnshí	real
针对	zhēnduì	aim at
诊断	zhěnduàn	Diagnosis
振动	zhèndòng	Vibration
争论	zhēnglùn	debate
征求	zhēngqiú	ask for
整体	zhěngtǐ	Whole
政治	zhèngzhì	Politics
证据	zhèngjù	evidence
挣	zhèng	earn, make
直	zhí	straight
执照	zhízhào	License
指挥	zhǐhuī	command
制度	zhìdù	system
制作	zhìzuò	Make
至今	zhìjīn	so far
至于	zhìyú	As for
治疗	zhìliáo	Treatment
志愿者	zhìyuànzhě	Volunteer
中心	zhōngxīn	core
种类	zhǒnglèi	type
重大	zhòngdà	significant
重量	zhòngliàng	weight
猪	zhū	pig
逐渐	zhújiàn	gradually
煮	zhǔ	cook
主动	zhǔdòng	active
主人	zhǔrén	master
主席	zhǔxí	Chairman
主张	zhǔzhāng	opinion
祝福	zhùfú	blessing
注册	zhùcè	register
抓紧	zhuājǐn	Pay close attention to, grasp
转变	zhuǎnbiàn	change
装饰	zhuāngshì	decorate
撞	zhuàng	Hit
状态	zhuàngtài	state
追求	zhuīqiú	Pursuit
资金	zījīn	capital
资源	zīyuán	Resources
咨询	zīxún	Consultation
字母	zìmǔ	Letter
自从	zìcóng	Since
自豪	zìháo	Proud
自觉	zìjué	Conscious
自私	zìsī	selfish
自愿	zìyuàn	voluntarily
总裁	zǒngcái	CEO
总统	zǒngtǒng	President
组	zǔ	group
组合	zǔhé	combination
阻止	zǔzhǐ	prevent
醉	zuì	drunk
最初	zuìchū	First, at the beginning
尊敬	zūnjìng	respect
遵守	zūnshǒu	comply with
作品	zuòpǐn	works
作为	zuòwéi	As
